,geneID,genename,moduleColor,GS.Mass_min,p.GS.Mass_min,MM.blue,p.MM.blue,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.brown,p.MM.brown,MM.yellow,p.MM.yellow,MM.grey,p.MM.grey
6498,ENSGALG00010023590,S1PR1,black,-0.407010288,0.053917697,0.672261533,0.000441797,0.362003406,0.089618017,-0.265224945,0.221294809,0.283332923,0.190168808,0.294936267,0.171874919,0.775746365,1.37E-05,0.309518018,0.150664173,-0.326559031,0.128302014,0.459512874,0.027390783
4045,ENSGALG00010016113,DTWD1,black,-0.259449273,0.231894749,0.527376613,0.009709421,0.164312546,0.453745713,-0.334692956,0.118516234,0.364058319,0.08767889,0.179477441,0.412542071,0.775776727,1.36E-05,0.08161962,0.711215799,-0.384321376,0.070199544,0.36868848,0.083424688
4560,ENSGALG00010017647,ITGA9,black,-0.080392719,0.715379966,0.400667128,0.058141413,0.203178456,0.352464382,-0.092811612,0.67361059,0.291165594,0.177680413,0.19806979,0.364958002,0.775862615,1.36E-05,0.215444896,0.323507489,-0.464841262,0.025426991,0.466033523,0.025003416
7369,ENSGALG00010026264,FZD7,black,-0.227300253,0.296932108,0.437232193,0.036951884,0.177923297,0.416667509,-0.51623215,0.011676931,-0.046347332,0.833674749,0.475174809,0.021940358,0.775978935,1.35E-05,0.374627345,0.078197022,-0.311573999,0.147829528,0.23315775,0.284316903
2703,ENSGALG00010011333,KCTD12,black,-0.151703552,0.489573148,0.268602762,0.215247129,0.074203426,0.7365044,-0.666579962,0.000514257,-0.140213345,0.52340571,0.344353985,0.10761132,0.776857858,1.30E-05,0.182984989,0.403314292,-0.582894962,0.00351168,-0.012141784,0.956150841
2041,ENSGALG00010008938,ZBED4,black,-0.179555537,0.41233536,0.521636131,0.010685573,0.482685767,0.019656376,-0.240869874,0.268228151,0.271403151,0.210317704,0.419878001,0.046080855,0.777149698,1.29E-05,0.52822809,0.009571105,-0.191809831,0.38061127,0.572512712,0.004304538
3471,ENSGALG00010013632,SLC1A3,black,-0.402516331,0.056884658,0.561318492,0.005322415,0.024358267,0.912155949,-0.383039032,0.071220213,0.044323896,0.840844119,0.065144104,0.767756125,0.777269126,1.28E-05,-0.017593689,0.936494281,-0.547712306,0.006823076,0.197002549,0.367599972
1641,ENSGALG00010007544,,black,-0.080059529,0.716512191,0.272933858,0.207655502,0.104656281,0.634621181,-0.351217996,0.100323642,0.039760517,0.857057071,0.225145404,0.301658813,0.777343149,1.28E-05,0.397960155,0.060019515,-0.54329301,0.007380268,0.060798768,0.782874523
976,ENSGALG00010004583,XKR4,black,-0.242402267,0.265101816,0.449582205,0.031372884,0.138766798,0.527742262,-0.460846504,0.02688827,0.21199083,0.331511813,0.286631095,0.184839266,0.77760475,1.26E-05,0.024906659,0.910185939,-0.417488151,0.047464718,0.221471269,0.30982444
8080,ENSGALG00010028898,TNFSF15,black,-0.246224172,0.257406233,0.350457153,0.101112981,0.174349243,0.426239766,-0.715491336,0.000124048,-0.018781374,0.932216513,0.492971179,0.016844426,0.777646719,1.26E-05,0.086752278,0.693882908,-0.556247895,0.005845637,0.071833338,0.744643716
6725,ENSGALG00010024274,ACSBG1,black,-0.127215539,0.562967494,0.488618466,0.017991604,0.279278427,0.196862912,-0.117746324,0.592602828,0.051482615,0.815538242,0.218020481,0.317615578,0.777791272,1.25E-05,0.43786273,0.036649319,-0.317281445,0.140158763,0.47957764,0.020576997
2346,ENSGALG00010010052,ZNF346,black,0.033498382,0.879395436,0.240726706,0.26852143,0.131345945,0.550252075,-0.227164619,0.297228263,-0.009318064,0.966342042,0.234269982,0.281960074,0.778476099,1.22E-05,0.552184949,0.006295224,-0.451528194,0.030558402,0.198018961,0.365083581
5976,ENSGALG00010021931,ITGA6,black,-0.182417794,0.404798671,0.538822568,0.007981817,0.521777263,0.010660642,-0.30809287,0.15265145,0.277919247,0.199142281,0.485320448,0.018902325,0.778774581,1.20E-05,0.588860653,0.003114514,-0.257899239,0.234795335,0.479726626,0.020532088
2410,ENSGALG00010010341,OPN4,black,0.041116202,0.852234405,0.101182946,0.645963173,-0.225943452,0.299902899,-0.477021482,0.021359932,-0.172673443,0.430768563,0.040218409,0.85542762,0.778887568,1.20E-05,-0.150289785,0.493676149,-0.830743392,9.23E-07,-0.104225349,0.636024122
8211,ENSGALG00010029328,,black,-0.260369345,0.230184206,0.475848303,0.021727219,0.246908192,0.256044242,-0.44949829,0.03140839,0.086736263,0.693936768,0.257050156,0.236394274,0.778977675,1.19E-05,0.374730429,0.078108517,-0.473422425,0.022502828,0.07922284,0.719357918
250,ENSGALG00010001496,PTP4A1,black,-0.475964195,0.021690712,0.68896115,0.00027736,0.279180698,0.197026212,-0.409301408,0.052451858,0.181269532,0.407812977,0.216827727,0.32033597,0.779185867,1.18E-05,0.237392295,0.275409665,-0.449564555,0.031380349,0.25694384,0.236594982
2572,ENSGALG00010010923,F13A1,black,-0.202070925,0.355151396,0.363791369,0.087929011,0.168364386,0.442531543,-0.535860565,0.008402336,-0.028338002,0.897871448,0.385373258,0.069370638,0.779199288,1.18E-05,0.225035326,0.301901511,-0.490594916,0.017463095,0.118555468,0.590044792
7280,ENSGALG00010025905,CPT1A,black,-0.216259452,0.32163702,0.534937796,0.008537027,0.266398032,0.219181856,-0.181170821,0.408072681,0.32103891,0.135266216,0.212543326,0.330223579,0.779648616,1.16E-05,0.15527414,0.479286913,-0.382715311,0.071479647,0.451347994,0.03063311
7476,ENSGALG00010027097,,black,-0.200458844,0.359083844,0.316014127,0.141836999,0.12623316,0.566010941,-0.410031828,0.051991086,0.131764071,0.548972224,0.388287091,0.067113327,0.779694439,1.16E-05,0.216526027,0.321026307,-0.394237113,0.062678229,0.297648196,0.167781684
3431,ENSGALG00010013494,ASB1,black,-0.13810194,0.529741093,0.403263436,0.056382888,0.148816755,0.497969205,-0.297264257,0.16835702,-0.014420012,0.947933163,0.381389339,0.072549788,0.780155588,1.13E-05,0.347056142,0.104697461,-0.362806938,0.08885599,0.19555355,0.371204596
94,ENSGALG00010000741,FAM105A,black,0.107477823,0.625465587,0.146525973,0.504681918,-0.121763138,0.579950753,-0.327237114,0.127464698,-0.029620794,0.893273427,0.048433691,0.82629583,0.781418262,1.07E-05,0.072453139,0.742512614,-0.719051621,0.000110604,0.019675745,0.928996385
