"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.POA","GSF2960.NOF10.POA","GSF2960.NOF11.POA","GSF2960.NOF12.POA","GSF2960.NOF2.POA","GSF2960.NOF3.POA","GSF2960.NOF4.POA","GSF2960.NOF5.POA","GSF2960.NOF6.POA","GSF2960.NOF7.POA","GSF2960.NOF8.POA","GSF2960.NOF9.POA","GSF2960.NOM1.POA","GSF2960.NOM10.POA","GSF2960.NOM11.POA","GSF2960.NOM12.POA","GSF2960.NOM2.POA","GSF2960.NOM3.POA","GSF2960.NOM4.POA","GSF2960.NOM5.POA","GSF2960.NOM6.POA","GSF2960.NOM7.POA","GSF2960.NOM8.POA","GSF2960.NOM9.POA"
"400","ENSGALG00010013225",1195.5720436455,-0.823261223643363,0.058571318868393,-14.0557057540943,7.10698511799712e-45,1.23396355041284e-42,1258,777,934,1052,781,656,718,868,975,893,989,932,1588,1442,1583,1356,1674,1604,1246,1667,1606,1284,1259,1675
"401","ENSGALG00010013238",68.0023129744465,-0.894865969697305,0.133956853821905,-6.68025520282094,2.38526507369532e-11,9.98121892168982e-10,53,50,51,51,52,46,33,44,56,39,41,56,97,87,75,90,94,107,60,95,87,93,65,109
"402","ENSGALG00010013246",375.604794854953,-0.696631277521618,0.0901106566015041,-7.73084231981936,1.06837289277886e-14,5.33406946853925e-13,305,243,287,299,302,243,244,231,316,307,280,253,554,449,515,509,482,604,371,338,562,410,369,550
"403","ENSGALG00010013253",439.489685149253,-0.907511329600601,0.0654670009952906,-13.8621185605536,1.07455250783005e-43,1.76060131318127e-41,350,212,349,354,271,259,273,268,353,356,359,353,509,601,629,522,582,649,443,570,627,517,510,662
"404","ENSGALG00010013256",402.713267857813,-1.06955253050752,0.0715048054259795,-14.957771357265,1.38589982441226e-50,3.161210324978e-48,329,235,263,302,250,195,231,224,318,295,299,359,571,499,608,487,645,543,398,655,522,443,471,564
"405","ENSGALG00010013264",302.333895666708,-0.417629310283613,0.0789601353064403,-5.28911594012365,1.22908967934822e-07,4.19296194717237e-06,289,192,265,257,234,180,254,300,245,298,285,286,393,399,404,305,369,356,270,315,433,302,291,375
"406","ENSGALG00010013297",108.691339189101,-0.894145569810812,0.135446674951059,-6.60145825014822,4.0713293025778e-11,1.66181662375044e-09,108,79,85,95,60,44,52,87,86,94,95,70,128,167,135,113,150,151,148,132,169,108,113,143
"407","ENSGALG00010013306",306.458723700022,-0.751206119802433,0.11223670361251,-6.69305223357169,2.18563078978188e-11,9.17886028069769e-10,304,201,239,240,206,174,241,179,256,269,239,230,450,309,521,377,492,413,294,309,338,347,360,380
"408","ENSGALG00010013313",1034.43747950857,-0.701278507162086,0.0984445412983914,-7.12358956538248,1.05151865618478e-12,4.74120795635565e-11,817,662,778,866,774,844,636,771,743,942,842,684,1239,1294,1368,1014,1345,1560,877,1192,1919,1118,1094,1565
"409","ENSGALG00010013319",7007.45939586327,-0.969262168420746,0.0374556537382527,-25.87759314506,1.19057761330093e-147,1.38499893755298e-143,5333,4180,5537,5245,4911,3775,4527,4625,5209,5283,5775,4714,9255,9002,10229,8027,9563,9976,6897,10717,9282,7985,8008,10602
"410","ENSGALG00010013327",754.952264684249,-0.714653119707836,0.0994188462354589,-7.18830630980453,6.5599962493567e-13,2.98095454565494e-11,579,428,600,581,496,560,527,603,637,661,515,700,842,1035,993,733,965,930,694,936,1347,911,768,1129
"411","ENSGALG00010013329",839.894215920661,-0.579267919638636,0.131370300940943,-4.40942827632741,1.03643876942635e-05,0.00030370005553493,895,618,756,750,717,691,393,781,616,811,820,446,1080,791,1149,941,1040,1081,977,894,1096,908,862,1037
"412","ENSGALG00010013349",413.188445854849,-0.458601491470278,0.144651192641676,-3.17039550863784,0.00152231573838278,0.0304803769098225,517,257,427,433,397,326,289,354,458,435,397,447,387,397,421,317,427,435,721,411,453,320,366,516
"413","ENSGALG00010013357",601.069285076776,-0.736506393325185,0.0701116680136432,-10.5047621058148,8.21296110120939e-26,6.49941336669176e-24,488,338,481,519,436,426,395,386,462,531,473,439,768,907,810,673,734,781,577,778,815,772,630,809
"414","ENSGALG00010013364",58.8194981510076,0.571560472433672,0.187632606278044,3.04616816752363,0.00231778160929036,0.0425280023042188,78,70,62,71,49,66,44,46,57,67,72,81,66,80,90,59,43,80,34,48,61,27,27,52
"415","ENSGALG00010013390",2506.00588882444,0.420960416730308,0.093689256374975,4.4931557044864,7.01754362389255e-06,0.000210399703548304,3523,2182,3232,3094,2559,2576,2547,2488,3286,3009,3440,2299,2545,2436,2358,2431,1941,2597,1478,2528,1876,2149,1809,2367
"416","ENSGALG00010013396",80.4503836473825,-0.678688926068555,0.197526528965224,-3.43593809714565,0.000590505879789744,0.0136026829694933,111,50,50,63,61,72,50,61,62,65,63,92,116,85,117,74,101,92,118,97,123,36,68,112
"417","ENSGALG00010013409",724.793867954752,-0.698396734633578,0.162738538400017,-4.29152640486971,1.77449097071599e-05,0.00050594738878282,783,475,538,754,486,389,340,462,554,443,705,736,1514,826,918,1014,1128,930,627,1124,923,537,584,802
"418","ENSGALG00010013410",237.680296966805,-0.925391853690995,0.0960008063628993,-9.6394175085661,5.44963256911834e-22,3.77354617122343e-20,183,127,160,157,179,139,159,140,140,190,156,163,391,324,332,264,286,374,196,321,397,319,224,409
"419","ENSGALG00010013418",603.930040764532,-0.329970808915523,0.110327010505757,-2.9908433791769,0.00278208144198934,0.0494106159002473,476,457,644,578,566,491,508,440,624,567,494,435,629,840,745,564,647,873,423,644,916,586,540,914
"420","ENSGALG00010013420",1007.83622152822,-0.672739386221996,0.049468908443342,-13.599236518277,4.04635305380233e-42,6.03477244549776e-40,918,629,887,857,844,651,640,694,916,866,792,856,1313,1209,1348,1042,1313,1414,964,1188,1491,986,1095,1422
"421","ENSGALG00010013431",1803.47889269318,-0.901787017634464,0.056815349711236,-15.8722426636076,9.86519371369103e-57,3.82539328237892e-54,1432,1142,1239,1224,1356,965,1082,1129,1445,1539,1505,1503,2582,2208,2597,2069,2653,2568,1763,2225,2464,1944,2242,2535
"422","ENSGALG00010013438",795.721458225447,12.4503883339396,0.917893482836429,13.564088390154,6.53875376417965e-42,9.628521840342e-40,1979,1379,1862,1621,1530,1140,1181,1507,1793,1506,1936,2368,1,1,0,0,0,0,1,0,2,0,0,0
"423","ENSGALG00010013487",109.616881727269,10.1676226622816,0.919966076728011,11.052171291407,2.13976016274511e-28,1.92959922272976e-26,277,205,227,232,235,174,191,179,204,216,232,340,0,0,0,0,0,0,0,0,0,0,0,0
"424","ENSGALG00010013497",164.145201402161,-0.907913257628233,0.161907687383085,-5.60759820798409,2.05153606568039e-08,7.2983238691315e-07,146,117,147,210,76,64,105,91,105,149,130,137,203,193,170,173,186,249,213,199,219,189,202,268
"425","ENSGALG00010013514",787.314360995607,-0.554459765276823,0.0718483378917175,-7.71708548237328,1.1901983394983e-14,5.9006577966032e-13,702,516,637,646,689,592,584,597,702,785,692,589,968,860,1005,781,906,1161,797,866,1078,891,795,1096
"426","ENSGALG00010013533",47.900552249726,-0.895056628974085,0.166847296103188,-5.36452582618139,8.11621470203543e-08,2.78513054952148e-06,38,29,38,38,32,34,20,33,25,33,45,46,59,81,82,44,86,53,40,60,75,51,45,73
"427","ENSGALG00010013546",607.927270570905,-0.896899156321681,0.0861624244576147,-10.4094001760929,2.24632523720927e-25,1.7421000989637e-23,529,315,423,488,431,272,364,388,499,503,449,533,942,742,855,757,801,800,748,709,941,649,660,815
"428","ENSGALG00010013547",67.1458627494482,-1.00128488611696,0.19857132141193,-5.04244459369753,4.59621862278089e-07,1.51039014798898e-05,78,65,30,49,41,34,50,29,76,35,69,46,80,84,87,58,98,78,72,144,86,65,85,77
"429","ENSGALG00010013580",336.090694230391,-0.751723457087303,0.090766510625938,-8.28194729425333,1.21177225982957e-16,6.64931448047047e-15,255,145,286,286,266,197,225,196,288,285,319,310,494,446,427,437,469,413,290,438,469,347,371,457
"430","ENSGALG00010013598",226.150252177488,-0.683147992562962,0.211080019652564,-3.23644082318838,0.00121030318165282,0.0251868638858091,321,164,225,207,225,164,145,268,163,179,214,157,238,182,246,176,237,180,502,209,297,173,201,299
"431","ENSGALG00010013696",1216.91834308155,-1.09399344990424,0.0911731409166595,-11.9990760316599,3.59284873439185e-33,3.94298201199815e-31,1040,565,840,843,853,556,674,776,904,818,882,1191,1786,1578,1967,1484,2070,1488,1399,1779,1605,1195,1340,1701
"432","ENSGALG00010013732",925.670338192153,-1.03483739071878,0.0532358630810485,-19.4387266558129,3.63065471503494e-84,6.03362947142879e-81,684,544,610,609,580,539,517,580,647,732,691,648,1373,1193,1316,1137,1318,1367,1049,1253,1333,1138,1012,1312
"433","ENSGALG00010013751",317.225580120555,-0.85948875187827,0.094838583502291,-9.06264855650768,1.27320722133412e-19,7.83662413004224e-18,313,226,206,298,261,176,172,251,238,228,271,292,460,361,390,361,504,389,362,428,357,297,384,399
"434","ENSGALG00010013771",284.47141045267,-0.875414402854782,0.0765933324822457,-11.4293813114569,2.98226058156456e-30,2.86716011118517e-28,226,178,266,222,215,173,140,187,205,250,244,206,411,345,384,308,358,389,269,368,378,314,378,437
"435","ENSGALG00010013777",780.481349571936,-0.735884502783604,0.128200039288628,-5.74012696772146,9.46055941653922e-09,3.43920899039378e-07,670,506,546,635,477,445,414,817,496,622,567,485,1157,1069,1107,874,1123,1344,874,815,1279,892,561,1001
"436","ENSGALG00010013833",23.9401874319254,1.00946872286232,0.278434786945466,3.62551222114367,0.00028838925691347,0.00716844492665468,42,16,26,35,35,17,34,28,40,13,38,32,14,34,35,21,14,22,14,12,16,18,10,19
"437","ENSGALG00010013898",613.051346874368,-0.422939220995302,0.102607459363692,-4.1219149525591,3.75735925604945e-05,0.00104567847429721,658,463,631,441,509,421,397,520,606,711,579,624,771,632,824,570,870,775,408,917,807,475,603,711
"438","ENSGALG00010013914",1120.51121805177,-0.526239957031343,0.0880645571036843,-5.97561577936247,2.29222673687509e-09,8.65762130846363e-08,911,751,912,925,1053,963,803,843,904,1027,1034,1094,1265,1379,1398,1045,1485,1477,864,1381,1837,1003,1205,1517
