,geneID,genename,moduleColor,GS.Mass_min,p.GS.Mass_min,MM.brown,p.MM.brown,MM.grey,p.MM.grey,MM.green,p.MM.green,MM.lightgreen,p.MM.lightgreen,MM.pink,p.MM.pink,MM.black,p.MM.black,MM.lightcyan,p.MM.lightcyan,MM.cyan,p.MM.cyan,MM.grey60,p.MM.grey60,MM.purple,p.MM.purple,MM.salmon,p.MM.salmon,MM.midnightblue,p.MM.midnightblue
5214,ENSGALG00010018289,HEYL,cyan,0.372259183,0.080251126,-0.256375734,0.237669371,-0.339517066,0.112974997,0.530114862,0.009270401,0.231239721,0.288410147,0.509944677,0.012924137,0.18745615,0.391719266,0.020729299,0.925204513,0.748620222,3.98E-05,0.021203731,0.923497483,-0.434785725,0.038144519,0.10212502,0.642879201,0.250076633,0.249795959
6571,ENSGALG00010022253,,cyan,0.348396592,0.103273714,-0.248220498,0.253444239,0.013314399,0.95192057,0.593404294,0.002838062,-0.119064858,0.58843682,0.164936686,0.452008688,-0.02026141,0.926888316,0.022071984,0.920374316,0.706922587,0.000162382,0.401591092,0.057510826,-0.069190277,0.753751699,0.334595437,0.118630247,-0.070197316,0.750277626
8407,ENSGALG00010027980,NUP210,cyan,0.390461421,0.065465706,-0.247435403,0.254997653,0.155536583,0.478535198,0.575947201,0.004027143,0.168445973,0.442307255,0.291799993,0.176694327,0.432898806,0.039084909,-0.068609072,0.755758839,0.704561321,0.000174605,0.430301985,0.040408792,0.151310682,0.490711615,0.269645943,0.213401926,-0.230650887,0.289674116
4515,ENSGALG00010016431,B3GNT5,cyan,0.303061381,0.159815151,-0.245018544,0.259818146,-0.244881357,0.260093509,0.537336145,0.008190612,0.009065049,0.967255478,0.106889496,0.627370289,0.074466634,0.735602165,0.241567971,0.26680102,0.709053762,0.000151995,0.027205266,0.901934257,-0.227951813,0.295511982,0.218237957,0.317121081,0.22662956,0.29839834
3304,ENSGALG00010012325,MLPH,cyan,0.408352335,0.053055276,-0.237448144,0.275293381,-0.020401703,0.926383408,0.876693491,4.10E-08,0.327213089,0.127494297,0.284191136,0.188772041,0.177654371,0.417383648,-0.042028223,0.848992879,0.896440414,7.19E-09,0.49004907,0.01760778,-0.094947162,0.66651699,0.155226116,0.479424531,0.081570051,0.711383886
6910,ENSGALG00010023229,HKDC1,cyan,0.392069894,0.064266877,-0.232530811,0.28565082,0.104524732,0.635049325,0.613941917,0.001832213,0.041169453,0.852045074,0.166350353,0.448087269,0.361531915,0.090067416,-0.026765206,0.903513278,0.745350521,4.48E-05,0.380933529,0.072920445,0.087284375,0.692094315,0.29306982,0.174731917,-0.016814418,0.939301969
6419,ENSGALG00010021813,WDR72,cyan,0.141819341,0.518611085,-0.232039432,0.286699043,-0.30760768,0.153332212,0.307497517,0.153487077,0.051975278,0.813802934,-0.114798832,0.60196062,-0.188248757,0.389683561,0.136301142,0.53517285,0.458151886,0.027911308,-0.022840331,0.917611461,-0.218546027,0.316421395,-0.145695618,0.50712598,-0.071228483,0.746725176
7976,ENSGALG00010026362,GGT2,cyan,0.367674988,0.084342374,-0.218025697,0.317603712,0.024859187,0.910356455,0.66695715,0.000509148,0.293845817,0.173540127,0.376783406,0.076361589,0.350054442,0.101532624,0.042693078,0.846631321,0.791115651,6.98E-06,0.432502909,0.039284507,-0.014420197,0.947932498,0.400766123,0.058073598,0.060259231,0.784757126
662,ENSGALG00010002840,SRPX,cyan,0.317268997,0.140175179,-0.211423746,0.332837187,-0.311056871,0.148538928,0.413718675,0.049712973,0.367276416,0.084705333,0.32043669,0.136042018,0.196690373,0.368374848,-0.143274831,0.514284034,0.668071473,0.000494309,0.14098439,0.521101165,-0.153769157,0.483609124,0.193058951,0.3774577,-0.277317679,0.2001568
1126,ENSGALG00010004892,HEY2,cyan,0.333454229,0.119970404,-0.198697739,0.363408655,-0.245919955,0.258013472,0.763987829,2.21E-05,0.468849172,0.024025524,0.187251828,0.392245009,0.045269898,0.83749072,0.124780771,0.570523855,0.856403639,1.85E-07,0.393273996,0.063380473,-0.047661178,0.829026388,0.225415301,0.301064262,0.160966667,0.463116717
3552,ENSGALG00010013099,SIM2,cyan,0.282975915,0.190751921,-0.198346237,0.36427545,-0.319762342,0.136914506,0.282929843,0.190827262,0.265693577,0.220449098,0.170720322,0.436079284,0.443799694,0.033895249,0.207349294,0.342452825,0.691270824,0.00025945,-0.042424236,0.847586092,0.029649189,0.893171686,0.357653141,0.093828422,-0.136815789,0.533617865
8274,ENSGALG00010027616,,cyan,0.285809499,0.186157206,-0.191497101,0.381403139,-0.404417409,0.055614569,0.422802938,0.044430189,0.357371733,0.094105754,0.269584463,0.213510379,0.31605549,0.141782,-0.093103714,0.672638718,0.824660738,1.30E-06,0.125969102,0.56683025,-0.118495928,0.590232861,0.344897101,0.107020932,-0.24705754,0.255747483
5708,ENSGALG00010020056,UACA,cyan,0.292618883,0.17542707,-0.181518881,0.40715736,-0.085627978,0.697667329,0.689211454,0.000275368,-0.051703984,0.814758412,0.265030105,0.221647057,0.017312807,0.937506207,0.117634673,0.592956171,0.721612089,0.000101739,0.222871536,0.306696601,-0.293844809,0.173541671,0.13194798,0.548409723,0.456887434,0.028401958
6130,ENSGALG00010021218,DPF3,cyan,0.296128445,0.170067072,-0.174308432,0.426349749,0.152747047,0.486555689,0.606553252,0.002151877,0.309672986,0.150449187,0.175303319,0.423672946,0.42040719,0.045778723,0.124296319,0.572032686,0.71699906,0.00011819,0.496638728,0.015924613,0.398990238,0.05929943,0.483101027,0.01953594,0.038138584,0.862833371
4657,ENSGALG00010016813,,cyan,0.281661994,0.192908487,-0.171357265,0.434343547,-0.085173757,0.699198234,0.316196468,0.141594658,0.21970711,0.313792796,0.080241846,0.715892579,0.338078286,0.114607467,0.252621707,0.244849078,0.501776713,0.01470516,0.130058821,0.554200382,0.23822714,0.273674655,0.418827577,0.046685184,0.088546177,0.687859254
7886,ENSGALG00010025957,,cyan,0.41291229,0.050204492,-0.171329169,0.434420033,0.334043963,0.119276496,0.631326194,0.001235132,-0.036642789,0.868166482,0.407205432,0.053791626,0.48024712,0.020375815,-0.054182542,0.806038785,0.644007612,0.000912498,0.549045328,0.006662044,0.090397636,0.681661507,0.208484678,0.339756961,0.036958695,0.867039678
