"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.TnA","GSF2960.NOF10.TnA","GSF2960.NOF11.TnA","GSF2960.NOF12.TnA","GSF2960.NOF2.TnA","GSF2960.NOF3.TnA","GSF2960.NOF4.TnA","GSF2960.NOF5.TnA","GSF2960.NOF6.TnA","GSF2960.NOF7.TnA","GSF2960.NOF8.TnA","GSF2960.NOF9.TnA","GSF2960.NOM1.TnA","GSF2960.NOM10.TnA","GSF2960.NOM11.TnA","GSF2960.NOM12.TnA","GSF2960.NOM2.TnA","GSF2960.NOM3.TnA","GSF2960.NOM4.TnA","GSF2960.NOM5.TnA","GSF2960.NOM6.TnA","GSF2960.NOM7.TnA","GSF2960.NOM8.TnA","GSF2960.NOM9.TnA"
"66","ENSGALG00010008127",286.012847685118,-0.744003786126771,0.167682930171535,-4.43696794519083,9.12348733750771e-06,0.000288379863292615,164,237,217,190,262,150,167,167,539,185,157,152,243,376,344,368,429,393,302,452,368,299,409,403
"67","ENSGALG00010008136",839.543925857299,-0.959593412624856,0.0476421450298632,-20.1416920254821,3.18275238942197e-90,3.76997020527033e-87,492,510,563,697,577,537,549,518,725,560,666,421,904,929,846,1272,1303,1079,979,1239,1393,1052,1378,1236
"68","ENSGALG00010008141",263.550273637962,-1.10043459199802,0.083072789108178,-13.2466311028154,4.71916293824818e-40,5.94664734080316e-38,151,182,212,204,174,193,157,180,141,137,184,160,327,326,345,403,390,369,278,396,376,356,333,372
"69","ENSGALG00010008149",7216.31583900779,-0.89631675254613,0.106408809448845,-8.42333221458535,3.65924981084065e-17,2.10406864123337e-15,4301,4676,5110,7234,4973,4989,5896,5681,3609,4114,6499,3899,8291,6849,7928,11243,11287,9124,8845,10096,10297,10457,9470,9576
"70","ENSGALG00010008153",673.101805984764,-1.0351240118854,0.0622397463843788,-16.6312376257561,4.13954539381268e-62,1.29033987341345e-59,406,404,544,502,458,350,426,447,607,509,480,275,770,798,783,977,1019,928,696,1033,1005,933,952,1047
"71","ENSGALG00010008197",1818.59205988955,-0.882350839121157,0.0591402736231579,-14.9196272703015,2.45641668417817e-50,4.40852357940764e-48,993,1189,1435,1611,1094,1407,1262,1126,1321,1336,1477,948,2007,1687,1767,2743,2758,2399,2194,2634,2901,2334,2910,2719
"72","ENSGALG00010008213",1770.45304491592,-0.468929143957876,0.0815294555253464,-5.75165307969084,8.83750075042495e-09,3.3337642162033e-07,1135,1698,1619,1799,1584,1682,1444,1331,1398,1519,1854,1068,1958,1594,1646,2487,2254,1981,1512,1896,2280,2155,2750,2336
"73","ENSGALG00010008231",713.718754980947,-0.832905041278169,0.0486282963596244,-17.127991388358,9.1768693819589e-66,3.10571479512295e-63,389,517,558,548,563,521,502,504,651,552,533,353,707,832,764,1056,1128,891,772,1011,1102,856,981,1057
"74","ENSGALG00010008234",212.462616894176,-1.07097849460678,0.12544222363662,-8.53762364504306,1.37010328505945e-17,8.07406637389512e-16,111,178,193,129,109,117,167,138,111,125,174,94,275,265,237,328,342,282,238,261,244,299,395,317
"75","ENSGALG00010008247",163.186535833278,-0.650927476157324,0.16652518606011,-3.90888304380792,9.2723837675871e-05,0.00271188606733504,150,88,183,163,112,158,126,169,98,117,82,95,153,153,180,237,290,177,145,224,324,167,204,166
"76","ENSGALG00010008275",400.49814817047,0.542395305723907,0.128185697275911,4.23132468949667,2.32319028028455e-05,0.000711064311885542,386,604,362,407,548,351,497,394,759,470,507,362,242,283,270,324,419,298,225,351,356,407,445,477
"77","ENSGALG00010008292",4584.31346272802,-0.334385929737277,0.0603677073293747,-5.53915238014291,3.03939102259534e-08,1.12504958320756e-06,3483,3949,4228,4904,4034,4963,4218,3868,3726,3869,4234,3058,4321,4404,4335,5512,5611,5501,4565,5985,5753,4711,5873,5814
"78","ENSGALG00010008311",745.665417096494,-0.998131216357497,0.0623317339327343,-16.0132111427325,1.03336123225707e-57,2.44803275921699e-55,397,505,526,627,519,508,502,464,512,536,616,344,820,698,871,1273,1198,1058,795,1014,1150,963,1143,1108
"79","ENSGALG00010008333",3944.35580771128,-0.472266487680345,0.0919268654631203,-5.13741532794688,2.78542900643708e-07,9.76136289386011e-06,2655,3400,3555,3365,3717,4287,3883,2756,3653,3336,3755,1946,3328,3744,3535,5338,5890,4703,3342,4873,5713,5343,4575,5431
"80","ENSGALG00010008373",332.174509278927,-0.950196562790172,0.0813443959902684,-11.6811557971842,1.59117089752408e-31,1.50779354249381e-29,168,268,239,215,206,224,252,237,222,273,272,188,374,345,429,529,476,428,332,438,512,400,525,490
"81","ENSGALG00010008424",2752.9290776127,-1.01935799416974,0.0586094046696015,-17.3923963213099,9.42115795008394e-68,3.48730049746076e-65,1511,2009,2217,1927,2059,1594,1987,1764,2212,1694,1938,1304,2949,3236,3382,4472,4111,3344,3060,4076,4155,3769,4201,3747
"82","ENSGALG00010008450",72.5769193123121,-0.83290981057779,0.108650109521877,-7.66598224560537,1.77467741131591e-14,8.98335638334912e-13,45,62,46,69,56,68,55,53,61,43,52,42,69,71,85,109,102,109,71,103,101,112,81,93
"83","ENSGALG00010008497",7553.14381220807,-0.399140574745661,0.0590879898388605,-6.75502036596881,1.42815193918905e-11,6.17389040864756e-10,5405,6869,7919,6341,6713,6470,6314,5265,9272,6714,6721,4766,6979,7168,7424,10289,9803,7975,7393,10402,10085,8440,9810,9036
"84","ENSGALG00010008522",259.765792313782,-1.11072603080967,0.122904436538881,-9.03731437276713,1.60568076956664e-19,1.02254240406004e-17,155,148,185,224,132,164,227,160,171,135,208,134,286,277,257,511,472,313,230,289,415,450,395,389
"85","ENSGALG00010008528",13.7063250662557,-1.15213053998593,0.251111791811924,-4.58811803170457,4.472597514977e-06,0.000144748408647275,7,14,7,14,4,5,4,12,9,6,13,8,17,19,10,24,25,16,13,16,23,20,26,22
"86","ENSGALG00010008636",1527.04750773629,-0.575484323131379,0.0639516399787413,-8.99874222651178,2.28318297507317e-19,1.44621937645678e-17,933,1386,1277,1151,1202,1289,1419,1092,1569,1261,1447,1029,1486,1627,1771,2092,2038,1789,1400,1892,2051,1798,2076,1882
"87","ENSGALG00010008699",734.064771120379,-0.933197167094683,0.0470384573397967,-19.8390257646727,1.3708956715417e-87,1.35318826911762e-84,422,463,581,563,497,499,496,415,576,488,608,413,729,781,878,1090,1196,1007,900,1047,1121,876,1126,1040
"88","ENSGALG00010008752",81.408203688059,-0.959182735964257,0.117608845477757,-8.15570233742038,3.47156498925744e-16,1.90373552304419e-14,38,34,77,80,62,47,49,46,74,76,63,32,81,103,100,119,125,108,92,100,123,101,121,133
"89","ENSGALG00010008768",250.426037303312,-1.14981450623131,0.156186079018064,-7.36182452021428,1.81413354808439e-13,8.77078035798349e-12,111,180,154,272,149,132,131,172,146,136,137,94,297,277,311,346,612,269,237,254,465,284,436,521
"90","ENSGALG00010008846",22.3690889246257,-1.1668378775246,0.255313105412625,-4.57022319962313,4.872050399298e-06,0.000156819122227404,6,20,19,31,18,10,10,10,12,12,10,7,21,19,29,30,32,19,31,41,51,39,48,23
"91","ENSGALG00010008860",942.911518656439,0.718704213412878,0.0975291808688035,7.36911975483194,1.71758322308281e-13,8.3380218350065e-12,1162,1066,1341,1652,1033,1103,1172,1091,958,1066,1498,914,575,553,566,924,915,652,666,761,936,653,950,674
"92","ENSGALG00010008965",828.846259078799,-0.61065890292924,0.166377852203334,-3.67031365558765,0.000242253022201722,0.00661172130870829,401,826,674,429,681,528,633,406,1401,741,544,454,852,953,775,923,935,822,816,1420,1164,1025,1430,1395
"93","ENSGALG00010009031",3999.23325280047,-0.528439344055537,0.0544988886629287,-9.69633247613346,3.12531187132759e-22,2.19049225537724e-20,2467,3377,3811,3620,3456,3293,3576,3187,3411,3545,3634,2239,3822,3788,3863,5422,5542,4794,3933,4980,5477,5062,5800,5057
"94","ENSGALG00010009037",18.1266787016919,-0.855024740929876,0.254062114402977,-3.36541614218675,0.000764282949442136,0.0193438708037224,19,10,17,11,18,10,10,12,24,11,12,3,18,25,25,16,33,14,18,34,36,24,19,21
"95","ENSGALG00010009116",57.9098856890179,-0.876617577388843,0.191979129527526,-4.56621289796584,4.96614408227779e-06,0.000159414570879622,35,39,58,54,33,34,34,52,46,58,56,25,51,52,40,96,76,108,46,60,76,123,113,53
"96","ENSGALG00010009120",817.462086880982,-1.10284368730182,0.0611017926454201,-18.0492852918691,7.99181740515629e-73,3.6408875832337e-70,374,500,649,582,460,492,545,472,640,563,622,397,846,969,1063,1365,1380,1170,877,1211,1132,1030,1358,1171
"97","ENSGALG00010009132",873.874632038649,-0.64798965976795,0.112242543350529,-5.77311989219903,7.78170302809128e-09,2.94486493187672e-07,574,865,781,584,816,568,744,675,845,713,620,458,792,1078,909,1163,1126,1081,676,928,1149,1098,1464,1520
"98","ENSGALG00010009143",1934.21085574632,-1.08143035032699,0.0691305715578664,-15.6433011612202,3.69087986210014e-55,8.09601332714373e-53,1065,1130,1433,1597,1310,1413,1353,1166,1151,1148,1502,939,2407,2028,2089,3121,3095,2851,2274,2760,3059,2613,2817,2531
"99","ENSGALG00010009152",96.1101847632532,-0.758784164487228,0.105203013847087,-7.21257059793097,5.49053475457342e-13,2.58076921301278e-11,64,74,98,67,65,73,69,49,108,63,78,68,90,114,123,132,141,111,106,135,153,110,114,121
"100","ENSGALG00010009153",570.538935616123,-0.867747847949319,0.0536839732215885,-16.1640019520828,9.04915584002908e-59,2.23306772760718e-56,336,386,441,380,408,440,368,381,540,373,430,337,547,630,577,844,843,793,638,827,832,749,932,830
"101","ENSGALG00010009167",1044.03830321497,-1.04451715840808,0.100178848650381,-10.4265238868275,1.87627193269838e-25,1.44314552226054e-23,695,748,722,645,727,843,656,702,538,689,742,607,1117,1332,1330,1540,1612,1414,1352,1371,1447,1549,1426,1232
"102","ENSGALG00010009220",137.035287068849,-0.896087451258699,0.194223459526604,-4.6136931833199,3.95576243814935e-06,0.000128372619396929,70,67,144,162,83,114,118,80,64,72,86,83,193,109,164,253,193,228,164,286,142,102,164,176
"103","ENSGALG00010009223",29.4958675213775,-0.597794672970242,0.184549699053694,-3.23920697804182,0.00119862557133452,0.0295170891735081,14,19,24,28,26,22,18,27,30,32,35,27,29,26,36,30,49,45,15,37,43,48,24,32
"104","ENSGALG00010009236",172.184882959527,-1.03314526478954,0.0896700476343378,-11.5216317158943,1.02648489548422e-30,9.49899498985205e-29,71,121,118,109,132,114,125,118,144,119,113,82,175,229,224,257,224,238,198,245,243,201,307,261
"105","ENSGALG00010009280",1343.5326084374,-1.02076793452082,0.0473173863328701,-21.5727877981232,3.23593043795741e-103,5.47565657680079e-100,731,900,1048,1087,827,901,844,822,1007,857,1160,656,1459,1471,1567,2114,2122,1945,1575,1769,2066,1746,2084,1857
